400155,49017
400155,7131
400155,277
400155,124905
400155,2907
383498,209112
383498,272
383498,141052
383498,263115
383498,155
402900,75656
402900,772
402900,1572
402900,9654
402900,489931
284053,141052
284053,209112
284053,99861
284053,1452
284053,49521
363088,141052
363088,99861
363088,1452
363088,49521
363088,209112
446894,8989
446894,487283
446894,512258
446894,503646
446894,413644
466282,43923
466282,449176
466282,12689
466282,9880
466282,272693
489925,24684
489925,376660
489925,12689
489925,4011
489925,2105
159824,76492
159824,766
159824,129
159824,671
159824,767
454983,449176
454983,101299
454983,84892
454983,11121
454983,272693
293660,141052
293660,1452
293660,1924
293660,8536
293660,9531
20352,93456
20352,342473
20352,20497
20352,5176
20352,19101
283995,1452
283995,299536
283995,1924
283995,8536
283995,9531
808,809
808,10882
808,10020
808,38757
808,150689
354912,4011
354912,745
354912,254470
354912,69
354912,6477
291805,467938
291805,260346
291805,241554
291805,281957
291805,9654
269149,278927
269149,101299
269149,338970
269149,346364
269149,10315
150540,812
150540,260513
150540,11360
150540,2300
150540,12092
519035,5966
519035,14844
519035,20943
519035,4951
519035,384677
455980,460019
455980,254470
455980,260514
455980,390043
455980,4922
507562,81
507562,9323
507562,351460
507562,8392
507562,12429
458423,224141
458423,621
458423,812
458423,10020
458423,321612
455207,8966
455207,222935
455207,465136
455207,281957
455207,449176
207703,272
207703,102899
207703,141052
207703,99861
207703,155
98566,272
98566,1930
98566,604
98566,605
98566,68721
487558,363676
487558,443009
487558,1883
487558,389015
487558,424
462919,64255
462919,621
462919,545141
462919,429417
462919,224141
445571,275
445571,473149
445571,843
445571,11974
445571,264644
425,49519
425,278154
425,387592
425,10567
425,675
499573,712
499573,6557
499573,2959
499573,24
499573,25195
474335,2300
474335,449749
474335,1696
474335,13260
474335,14886
506775,675
506775,672
506775,674
506775,767
506775,808
257344,333339
257344,251516
257344,27205
257344,603
257344,604
166426,1865
166426,22
166426,58
166426,285
166426,71805
194662,98566
194662,155
194662,14
194662,272
194662,315635
93456,49519
